id,pergunta
1,"What are the most common symptoms of anemia?"
2,"What are the most common causes of anemia?"
3,"How is anemia diagnosed?"
4,"What blood tests are used to diagnose anemia?"
5,"What is iron deficiency anemia?"
6,"What causes iron deficiency?"
7,"What are the symptoms of vitamin B12 deficiency?"
8,"How is vitamin B12 deficiency diagnosed?"
9,"What causes vitamin B12 deficiency?"
10,"What is folate deficiency anemia?"
11,"What is type 2 diabetes?"
12,"What are the common symptoms of type 2 diabetes?"
13,"How is type 2 diabetes diagnosed?"
14,"What tests are used to diagnose diabetes?"
15,"What is fasting blood glucose?"
16,"What is hypoglycemia?"
17,"What are the symptoms of hypoglycemia?"
18,"What causes hypoglycemia in people with diabetes?"
19,"What are the complications of uncontrolled diabetes?"
20,"How can diabetes be controlled?"
21,"What is high blood pressure?"
22,"What are the main risk factors for hypertension?"
23,"What are the symptoms of hypertension?"
24,"How is hypertension diagnosed?"
25,"What complications can uncontrolled hypertension cause?"
26,"How can blood pressure be lowered?"
27,"What is high cholesterol?"
28,"What are the risks of high cholesterol?"
29,"How is high cholesterol diagnosed?"
30,"What blood tests measure cholesterol?"
31,"What is obesity?"
32,"What factors contribute to obesity?"
33,"What health problems are associated with obesity?"
34,"What is a balanced diet?"
35,"Why are dietary fibers important?"
36,"What is coronary artery disease?"
37,"What are the symptoms of coronary artery disease?"
38,"What are the risk factors for heart disease?"
39,"How is coronary artery disease diagnosed?"
40,"What is heart failure?"
41,"What are the symptoms of heart failure?"
42,"What causes heart failure?"
43,"How is heart failure diagnosed?"
44,"What is asthma?"
45,"What are the most common symptoms of asthma?"
46,"What can trigger an asthma attack?"
47,"How is asthma diagnosed?"
48,"How is asthma usually treated?"
49,"What is pneumonia?"
50,"What are the symptoms of pneumonia?"
51,"What are the most common causes of pneumonia?"
52,"How is pneumonia diagnosed?"
53,"What are the risk factors for pneumonia?"
54,"What is bronchitis?"
55,"What is the difference between bronchitis and pneumonia?"
56,"What is chronic obstructive pulmonary disease?"
57,"What are the symptoms of COPD?"
58,"What are the main risk factors for COPD?"
59,"How is COPD diagnosed?"
60,"What is a urinary tract infection?"
61,"What are the symptoms of a urinary tract infection?"
62,"How is a urinary tract infection diagnosed?"
63,"What causes urinary tract infections?"
64,"What factors increase the risk of urinary tract infections?"
65,"What is chronic kidney disease?"
66,"What are the symptoms of chronic kidney disease?"
67,"How is kidney function evaluated?"
68,"What are the most common causes of chronic kidney disease?"
69,"How is chronic kidney disease diagnosed?"
70,"What is gastritis?"
71,"What are the symptoms of gastritis?"
72,"What causes gastritis?"
73,"How is gastritis diagnosed?"
74,"What is gastroesophageal reflux disease?"
75,"What are the symptoms of gastroesophageal reflux disease?"
76,"What factors can worsen acid reflux?"
77,"How is gastroesophageal reflux disease diagnosed?"
78,"What is celiac disease?"
79,"What are the symptoms of celiac disease?"
80,"How is celiac disease diagnosed?"
81,"What is migraine?"
82,"What are the symptoms of migraine?"
83,"What can trigger a migraine?"
84,"How is migraine diagnosed?"
85,"What is rheumatoid arthritis?"
86,"What are the symptoms of rheumatoid arthritis?"
87,"How is rheumatoid arthritis diagnosed?"
88,"What is osteoporosis?"
89,"What are the risk factors for osteoporosis?"
90,"How is osteoporosis diagnosed?"
91,"What is depression?"
92,"What are the common symptoms of depression?"
93,"How is depression diagnosed?"
94,"What is anxiety?"
95,"What are the common symptoms of anxiety?"
96,"How can anxiety affect physical health?"
97,"What is atherosclerosis?"
98,"What are the symptoms of atherosclerosis?"
99,"How is atherosclerosis diagnosed?"
100,"What are the common risk factors for atherosclerosis?"
